Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
1,1,Platform Architecture and Core Concepts,MC,What is the primary business driver behind AI Agent orchestration in the enterprise?,Replacing all human staff with bots,"Unifying discovery, execution, monitoring, and governance of a fragmented agent/automation estate",Reducing the number of available LLM providers,Eliminating the need for connections and credentials,,B,"Without orchestration, agents built across teams and frameworks become fragmented and hard to govern."
2,1,Platform Architecture and Core Concepts,MR,Which of the following are core capabilities of the watsonx Orchestrate platform? (Select all that apply),Environments (Dev/Test/Prod),Agentic Workflows,Native video rendering engine,AI Gateway and model policies,A built-in payroll processing module,"A,B,D","Environments, Agentic Workflows, and AI Gateway/model policies are documented core capabilities; the other options are not."
3,1,Platform Architecture and Core Concepts,MC,What best describes an Agentic Workflow?,A static FAQ document,"A structured flow definition—trigger, sequence of actions, decision points, outcomes—combining tools, agents, code blocks, and human-in-the-loop steps",A single LLM prompt with no branching,A billing report generated nightly,,B,"Agentic Workflows capture repeatable, multi-step automation with deterministic structure plus optional generative steps."
4,1,Platform Architecture and Core Concepts,MC,What does the AI Gateway and model policies capability provide?,"A layer for registering and routing to multiple LLM/embedding providers with policies controlling selection, failover, and guardrails",A tool for formatting Slack messages,A static list of banned words,A place to store knowledge base documents,,A,"AI Gateway unifies multi-model, multi-provider orchestration under governed policies."
5,1,Platform Architecture and Core Concepts,MC,What differentiates built-in components from custom (ADK-based) components?,Built-in components are shipped/maintained by IBM or partners in the Catalog; custom components are authored by your own developers using the ADK,Built-in components cannot be deployed to Prod,Custom components never require testing,There is no functional difference,,A,"Built-in = Catalog/Agent Builder assets; custom = ADK-authored Python tools, YAML agents, imported OpenAPI/MCP tools, Langflow flows."
6,1,Platform Architecture and Core Concepts,MR,Which scenarios are stated as good fits for watsonx Orchestrate? (Select all that apply),Task automation such as approvals and report generation,Human-in-the-loop workflows,"Cross-system orchestration pulling/pushing data across ERP, CRM, HRIS",Unstructured decision-making with no repeatable pattern,,"A,B,C","Task automation, HITL workflows, and cross-system orchestration are named good-fit scenarios; unstructured decisions are not."
7,1,Platform Architecture and Core Concepts,MC,"In process analysis, identifying desired outcomes and success metrics answers which question?","What does 'done' look like and how will you measure it (cycle time, error rate, cost)?",Which font should the chatbot use?,How many servers are needed?,What is the exam retake policy?,,A,"Success metrics define what a completed, successful automation run looks like."
8,1,Platform Architecture and Core Concepts,MR,Which of the following are valid deployment contexts for watsonx Orchestrate? (Select all that apply),IBM Cloud SaaS,AWS Marketplace,On-premises via Software Hub,A standalone mobile app with no backend,,"A,B,C","Orchestrate is delivered via IBM Cloud, AWS Marketplace, and on-premises/hybrid via Software Hub."
9,2,Agent and Assistant Integration,MC,Which use case pattern is a typical integration pattern between agents and assistants?,An agent invoking a legacy assistant for a well-defined sub-task,An assistant permanently replacing all agents,Assistants and agents can never interact,A knowledge base invoking an assistant directly,,A,"Typical patterns include an agent delegating a defined sub-task to an assistant, or escalation the other way."
10,2,Agent and Assistant Integration,MC,What are External Agents in watsonx Orchestrate?,"Agents that run outside Orchestrate's native runtime (e.g., watsonx.ai Agent Lab, Salesforce Agentforce, Bedrock AgentCore) but are wired in to be invoked like a native collaborator",Agents that can never be invoked by Orchestrate,Agents built only with Langflow,A deprecated feature no longer supported,,A,External agents let Orchestrate invoke agents hosted on other platforms/frameworks.
11,2,Agent and Assistant Integration,MC,What two things must be registered/referenced to configure an External A2A agent via the ADK?,"The external agent's A2A endpoint and credentials as a connection, referenced as an external collaborator in an agent's YAML",Only a marketing description,A Slack channel ID and nothing else,A billing account number,,A,"Configuration involves registering the endpoint/credentials as a connection, then referencing it as a collaborator."
12,2,Agent and Assistant Integration,MC,What is Multi-Agent Orchestration?,Running a single generalist agent for every task,"The coordination of multiple autonomous, specialized agents under one or more supervisor/orchestrator agents so complex requests are decomposed and routed appropriately",A deprecated legacy feature,A billing model for API usage,,B,Multi-agent orchestration decomposes complex work across specialist agents under a supervisor.
